Make Nats?,School,NATS,UT-Austin,Rickards,Palatine,Boyceville,Seven Lakes,Dick Smith,Raymond Park,BirdSO Mini,Fairfax,Westlake,SONI,Camas,Rice,Carnegie-Mellon,Solon IP,Solon Sat,SOLVI,UC Davis,Duke,Ohio State,MIT,UChicago,North Pocono IP,North Pocono Sat,Cornell,High Desert,SOAPS,Princeton,Mentor,Yale,San Marino,Golden Gate,BirdSO Sat,UMSO,SOUP,Northwestern,Mt. Vernon,LA Tech,Mason,Louisville,Lexington
FALSE,"Arcadia H.S. Arcadia, CA",,,8.819583534,,23.54944824,,,,13.54079937,,,,,,,,,,,20.95662104,,,,,,,11.08948627,,,,,21.32336507,,,,,,,,23.76960149,,
FALSE,New Albany H.S. OH,,,,,,,,,,,20.98536296,7.749933403,,,,,,,,,17.81613648,,,,,,7.950520115,,,,,,,16.8509203,,,20.36901293,,,27.96842331,,
FALSE,"Bayard Rustin H.S. West Chester, PA",,,,,,,7.537147662,,,,,,,,,20.46543277,,,,,,,,26.36267507,,,,,12.12418665,,,,,,,25.39023672,,,,,,
FALSE,"Stuyvesant H.S. New York, NY",,,9.588593543,,,,,,17.52338742,,,,,,,,,,,14.48472336,,,,,,,22.11523986,,,,28.79080255,,,,,,,,,,,
FALSE,"South Brunswick H.S. South Brunswick, NJ",,,,,,,,,13.71076756,,,,,,,,,,,,,,,,,,19.3369434,,27.63601368,,19.93209408,,,,,17.45578774,,,,,,
FALSE,"South Forsyth H.S. Cumming, GA",,,,,19.63222104,,,,,,,,,,,,,12.10559807,,,,,,,,,,,,,,,,23.59526739,,,,,,26.02076152,,
FALSE,"Camas H.S. Camas, WA",22.34463895,,,,6.38578291,,,,11.78731456,,,18.7873577,21.71753221,,,,,,,,,18.67181104,,,,,7.021992219,,,,,,19.53245326,21.283484,,,,,,,,
FALSE,"Milpitas H.S. Milpitas, CA",,,,,13.23491418,,,,,,,18.25616753,,,,,,,14.31284224,,,,,,,,,,,,,,19.53245326,16.46226646,,,27.59672719,,,,,
FALSE,"Castro Valley H.S. Castro Valley, CA",,,,,,,,,13.82647024,,,,,,,,,,13.63330077,,,,,,,22.0860136,,,,,,,24.17541346,,,,,,,,,21.70897891
FALSE,Stephen F. Austin H.S. TX,,,,,,17.20598377,,,,,,21.54195711,,5.074536433,,,,,,,,,,,,,,,,,,,,,,,,,,29.19204183,,
FALSE,"Brooklyn Technical H.S. New York, NY",,,9.968877706,,12.49323157,,,,10.77918897,,,,,,,,,,,,27.40944075,,,,,,,,,,,,,25.88755373,,13.05105626,,,,,,
TRUE,Boca Raton Community H.S. FL,,,,,,,,,,,,22.63495309,,,,,24.03234331,,,,,22.1958667,,,,,,,,,,,,,,,,,,,,
FALSE,John P. Stevens H.S. NJ,,,,,,,,,3.614198655,,,,,,,,,,,,,,,,,,16.44466554,,17.72876349,,2.449637612,,,29.69567828,,,,,,,,
TRUE,Archimedean Upper Conservatory FL,19.05512298,,16.0685563,,,,,,,,,15.92231613,,,,,,,,14.02079984,,27.82955042,,,,,,,15.34080759,,,,,,,,,,,,,
TRUE,"Centennial H.S. Ellicott City, MD",23.12353704,,,,,,,,,,,,,,,,,,,,,16.85859471,,,,,,,15.99360792,,,,,,,23.58005099,,,,,,
FALSE,"Davidson Academy Reno, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2409071,,,,,29.29658318
FALSE,Naperville North H.S. IL,,,,14.90846673,,,,,24.15385833,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.61372883,,,,,
TRUE,Ladue Horton Watkins H.S. MO,28.60836523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,"Northwood H.S. Irvine, CA",,,7.346584197,,,,,,,,,24.85946216,,,,,,,,,,,,,,,,,,,,,25.3711866,4.827340937,,,,,,,,
FALSE,Hillsborough H.S. NJ,,,14.30493427,,11.3742233,,,,20.48045904,,,4.319008828,,,,,,,,,,19.9489527,,,,,11.66076284,,20.31620465,,,,,15.43258029,,,,,,,,
FALSE,Northmont H.S. OH,,,,,,,,6.021639537,,,17.28730537,,,,,19.72258584,,,,,15.66253757,,,,,,,,,20.76816143,,,,,,,,,,15.0184138,,
FALSE,"Diamond Bar H.S. Diamond Bar, CA",,,,,,,,,,,,25.45258211,,,,,,,,1.488981389,,,,,,,,,,,,,,22.35480031,,,,,,,,
FALSE,"Athens Area H.S. Athens, PA",,,,,,,9.726710112,,,,,,,,,,,,,,,,,19.29816737,,,,23.64281379,,,,,,,,16.4504806,,,,,,
TRUE,"Fairfax H.S. Fairfax, VA",,,,,8.304689529,,,,,,,,,,,,,,,6.985540345,,,,,,,,,,,,,,,,25.8073248,,,,,,
FALSE,Mount Academy NY,,,,,,,,,,,,,,,10.02390557,,,,,,,,,25.45361731,,,,,,,9.365682759,,,,,,,,,,,
FALSE,"Orange County School of the Arts Santa Ana, CA",,,,,,,,,18.17120211,,,19.2895355,,,,,,,,,,,,,,,,,,,,,,20.60329019,,,,,,,,
FALSE,James S. Rickards H.S. FL,21.31265763,15.90718139,3.884121225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.20747369,,,,,,,,
FALSE,Columbia H.S. NY,,,,,,,,,,,,16.3575261,,,,,,,,,,,,19.425129,,,,,,,,,,,,20.87735411,,,,,,
FALSE,Sylvania Southview H.S. OH,,,,,,,,,,,,,,,,23.62422782,,,,,,,,,,,,,,,,,,,,,,,,20.53066678,,
FALSE,Townsend Harris H.S. NY,24.7405676,,,,,,,,12.63575879,,,,,,,,,7.400403351,,11.12950496,,,,,,,13.69413429,,,,11.10502384,,,,,,,,,,,
FALSE,American H.S. CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.27712707,,,,,,,24.64763426,,
FALSE,"Lake Braddock Secondary Burke, VA",,,,,,,,,,2.647520773,,9.189621406,,,,,15.68877012,6.206034456,,,,15.36636925,,,,,6.544305673,,,,5.436025657,,,11.54546013,,,13.08101748,,,,,21.86629035
FALSE,"Middlesex County Academy for Science, Mathematics and Engineering Technologies NJ",,,,,9.384532228,,,,13.59698526,,,,,,12.27417009,,,,,,,16.9369157,,,,,,,15.79200782,,,,,,,20.10906748,,,,,,
FALSE,Mentor H.S. OH,,,,,,,7.586410065,,,,17.73926107,,,,,21.69090778,,,,,,,,,,,,,,,,,,,,,15.00874637,,,,,
FALSE,William P. Clements H.S. TX,,,,,,16.03947639,,,,,,,,,,,,,,,,23.90604003,,,,,,,,,,,,,,,,,,,,
FALSE,Rocky River H.S. OH,,,,,,,,,,,12.31818582,,,,,19.16604021,,,,,,,,,,,,,,21.67112497,,,,,,,,,,,,
FALSE,Hudson H.S. OH,,,,,2.643495376,,,,,,14.3603542,,,,,19.3710246,,,,,,,,,,,,,,19.52098725,,,,,,,,,,,,
FALSE,East Grand Rapids H.S. MI,,,,,,,,,,,,13.15618721,,,,22.83013613,,,,,,,,,,,,,,,,,,,15.56398539,,,,,,,
FALSE,"Walter Johnson H.S. Bethesda, MD",,,,,,,,,,3.06060912,,,,,,,,,,,,,,,,,,,8.522670885,,,,,,,,22.51311955,,,,,
FALSE,Medina H.S. OH,,,,,,,,,,,13.63872836,,,,,16.6674,,,,,,,,,,,,,,20.04433811,,,,,,,,,,,,
FALSE,Amador Valley H.S. CA,,,,,,,,,,,,,,,,,,,,,,,,,,1.369261713,,,,,,,,21.91358715,,,,,,,,
FALSE,East Brunswick H.S. NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.88623207,,,,,,,18.98514679,,,,,,
FALSE,Texas Academy of Mathematics and Science TX,,10.57413792,2.192531981,,,12.78823118,,,,,,,,8.38262031,,,,,,,,,2.111245165,,,,,,,,,,,,,,,,,21.37632354,,
FALSE,Orlando Science H.S. FL,,,,,15.43394608,,,,,,,13.90946097,,,,,,,,,,18.9385512,,,,,,,,,,,,,,,,,,,,
FALSE,"Gretchen Whitney H.S. Cerritos, CA",,,,,,,,,15.33638119,,,21.09741114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Okemos H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.96636049,,,,,,,
FALSE,"Homestead H.S. Cupertino, CA",,,5.085280101,,,,,,,,,7.794246872,,,,,,,,,,,,,,,,,,,,,12.23817611,8.811812822,,,,,,,,20.95519492
FALSE,Princeton Day School NJ,,,,,,,,,,,,,,,,,,,,9.077983306,15.18960127,,,,,,,,10.49859738,,,,,,,20.01300506,,,,,,
FALSE,"East Lansing H.S. East Lansing, MI",,,,,10.36370346,,,,7.597079088,,,,,,,,,,,,,,,,,,,,,,,,,,20.88007917,,,,,,,
FALSE,Northridge H.S. IN,,,,,,,8.174089718,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83720426,,,,,,,
FALSE,John Adams H.S. IN,,,,,,,,,,,,12.90704322,,,,,,,,,,,,,,,,,,,,,,,20.75198053,,,,,,,
TRUE,"Lincoln Southwest H.S. Lincoln, NE",15.72400519,,,,,,,3.733160817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.66813745
TRUE,"Homeschool Science Colorado El Paso, CO",19.40347989,,,2.960546586,5.041238669,,,,,,15.05050061,,,,,,,,,,,,,,,,,,,,,,,11.91012603,,,,,,,,
FALSE,Hunter College H.S. NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.33684009,,,,,,
FALSE,"North Pocono H.S. Covington Township, PA",,,,,,,8.860463664,,,,15.59831577,,,,,,,,,,,,,,,,,4.751187461,,,,,,,14.77106037,15.53543532,,,,,,
FALSE,"Hudsonville H.S. Hudsonville, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2549271,,,,,,,
FALSE,Brighton H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2549271,,,,,,,
FALSE,Albany H.S. CA,,,,,,,,,,,,,,,,,,,17.01637911,,,,,,,,,,,,,,18.60820468,,,,,,,,,
FALSE,"Ithaca H.S. Ithaca, NY",,,,,,,,,,,12.45003185,,,,,17.90303921,,,,,,,,14.68964979,,,,,,,,,,,,,,,,,,
FALSE,Copley H.S. OH,,,,,,,,,,,13.11162775,,,,,,,,,,,,,,,,,,,19.88440988,,,,,,,,,,,,
FALSE,Marriotts Ridge H.S. MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.51578754,,,,,,
FALSE,Canton H.S. MI,,,,,,,,,6.412668193,,,,,,,,,,,,,,,,,,,,,,,,,,19.44007371,,,,,,,
FALSE,"Irvington H.S. Fremont, CA",,,,,10.67240952,,,,,,,,,,,,,,14.26839242,,,,,,,,,,,,,,18.54968832,,,,,,,,,
FALSE,Novi H.S. MI,,,,,3.493058827,,,,6.48885831,,,9.783209392,,,,,,,,,7.38492704,,,,,,,,,,,,,,17.67895205,,,,,15.7263525,,
FALSE,"BASIS Independent Silicon Valley San Jose, CA",,,,,,,,,14.52085722,,,,,,,,,,15.68062238,,,,,,,,,,,,,,13.15228737,,,,8.641399424,,,,,
FALSE,Jericho H.S. NY,,,,,,,,,19.12572051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
