Nats Rank,State,School,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
,MA,Milton Academy MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.52296871,,,,,,,
,FL,Archimedean Upper Conservatory FL,,,12.21467192,,,,,,,,,,,,,,,,,,,,,23.83074279,,9.255999632,,,20.61164092,,,,,,9.401213993,,,,
,CA,"Canyon Crest Academy San Diego, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,18.72540846,,,,,,,25.30474139,,,,,
,CA,"Great Oak H.S. Temecula, CA",,,,,,,,,,,,24.47702457,,,,,,,,,,,,,,,19.7968896,,,,,,,,,,,,
,CA,"BASIS Independent Silicon Valley San Jose, CA",,,16.06560296,,,,,,,13.93664628,,,,,,,,,,,,17.5385386,,,,,,,,,,,,20.11402521,,,,,
,NY,Collegiate School NY,,,,,,,,,,,,,,,,,,,,,,,,24.78780073,,,,,,,,,,,,,,,
,OH,Mayfield H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.30635521,,,,,,,,,,,
33,MN,"Eagan H.S. Eagan, MN",2.408744021,,,,,,,6.952727697,,,,,,,,,,,,,,,,,,,,,,,,,,,7.398049752,,,,24.24415253
34,MO,"Pembroke Hill School Kansas City, MO",,,,,,,,,,,,,,,,,,,,8.955691637,,,,,,,,,,,,,,,11.28145679,,,,
,NY,Forest Hills H.S. NY,,,,,,,,,,,,,,,,,,10.20631241,,,,,,,,24.19181722,,,,,,,,,,,,,
,PA,"State College Area H.S. State College, PA",,,,,,,,,,,,,,,,,,,,,23.53765825,,12.03820529,,,,,,,,,,,,,,,,
,FL,James S. Rickards H.S. FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY,Bronx H.S. of Science NY,,,,,,,,,,,,,,,,,,,,,,,,23.2911788,,,,,,,,,,,,,,,
,OH,Kenston H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2778012,,,,,,,,,,,
,MA,Uxbridge H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48540232,,,23.15485821,,,,,13.13979033,,
35,CO,Fossil Ridge H.S. CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,Garnet Valley H.S. PA,,,,,,,,,,,,,,11.24098282,,,,,,,,,,,,,,,,,,,,,,,,23.06238029,
,OH,St. Ignatius H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97766695
36,NH,Lebanon H.S. NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.29552808,,,19.87629422,,,,,,,
,MI,Okemos H.S. MI,,,,,,,,,,,17.64897549,,,,,,,,,,,,,,,,,,,,,,,,,22.86213444,,,
,CA,"Arcadia H.S. Arcadia, CA",,,15.75515653,,,,10.23816127,,,,,,,,,,,,,,,,,,,,22.84735372,,,,,,,,,,,,
,TX,"Obra D. Tompkins H.S. Katy, TX",,10.67307283,,16.5509092,,,,,14.07687595,,,,,,,,,,,,,,18.52481105,,,,,,,,,,,,,,,,
37,KS,"Blue Valley North H.S. Overland Park, KS",,,,,,,,,,,,,,,,,,,,10.60542431,,,,,,,,,,,,,,,10.48762431,,,,
,NY,"Brooklyn Technical H.S. New York, NY",,,14.17964088,,,,,15.44348304,,,,,,,,,,,,,,,,,,,,,,,,,,,20.71453931,,,,
,WI,Menomonie H.S. WI,,,,,,,,,,,,,,,22.19614753,,,,,,,,,,,,,,,,,,,,,,,,
,MI,Canton H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.14620121,,,
,CA,"Dublin H.S. Dublin, CA",,,,,,,,10.26455066,,,,,,,,,,,,,,17.2601491,,,,,,,,,,,,18.4742949,13.03866806,,,,
,NY,Hunter College H.S. NY,,,,,,,,,,,,,,,,,,17.70946782,,,,,,,,21.431677,,,,,,,,,,,,,
,NY,Division Avenue H.S. NY,,,,,,,,,,8.052887055,,,,19.17212069,,,,19.92931755,,,,,,,,,,,,,,,,,9.386772804,,,,
,MI,Novi H.S. MI,,,,,,,,,,,12.5140365,,,,,,,,,,,,,,,,,,,,,,,,,21.73776717,,,
,MA,Westborough H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,18.89437464,,,,,,,,19.58739459,,,,,,,
38,CT,South Windsor H.S. CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.28023599,,,,,,,,,
39,DE,Charter School of Wilmington DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.82876612,
,CA,"Northwood H.S. Irvine, CA",8.700549525,,8.862275548,,,,8.357682673,10.03218386,,,,,,,,,,,,,,5.148624022,,,,,20.99843492,,,,1.539783906,,,,,,,,
,MN,Wayzata H.S. MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,AL,"Auburn H.S. Auburn, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,"Canyon H.S. San Diego, CA",,,,,,,,,,,,20.74873606,,,,,,,,,,,,,,,14.27398523,,,,,,,,,,,,
,NY,Half Hollow Hills H.S. East NY,,,,,,,,,,,,,,,,,,20.67810694,,,,,,,,,,,,,,,,,,,,,
,MA,Wellesley H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,20.64268355,,,,,15.62767856,,,,,,9.43994196,,,,
,OH,Mentor H.S. OH,,,,,,,,,,,12.32805295,,,,,,,,,,,,,,,,,20.61485748,,,,,,,,,,,
,PA,Hershey H.S. PA,,,,,,,,,,,,,,20.60287597,,,,,,,,,,,,,,,,,,,,,,,,,
,NY,Fayetteville-Manlius Senior H.S. NY,,,,,13.97545462,,,,,,,,,,,,,,,,,,,,18.67216669,,,,,,,,,,14.15626817,,,,
,MD,"River Hill H.S. Clarksville, MD",,,,,,,,,,,,,,20.48060371,,15.64496505,,,,,,,,,,,,,,,,,,,,,,,
,NH,Phillips Exeter Academy NH,,,,,,,,,,,,,,,,,,,,,,,,14.76593871,,,,,,,,20.4804369,,,4.985685963,,,,
,PA,North Penn H.S. PA,,,,,,,,,,,,,,13.74893117,,,,,,,,,,,12.61805121,,,,,,,,,,,,,19.44299246,
,OH,Hudson H.S. OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.25529601,,,,,,,,8.847398147,,,
,NV,"Davidson Academy Reno, NV",,,8.032801482,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.753529328,,,20.03499171,,,,,
,CA,Amador Valley H.S. CA,,,,,,,,,,,,,,,,,,,,,,16.57605783,,,,,,,,,,,,,18.84107635,,,,
,MI,Eisenhower H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79110145,,,
,IL,Waubonsie Valley H.S. IL,,,,,,18.24066504,,,,,,,,,,,,,,,,,,,,,,,,,,,17.14924258,,,,,,
