Appearances,1st,2nd,3rd,4th,Overall Rank,State Rank,Make Nats?,Nats Rank,Overall Score,State,School,SONT 2022,Highlands,UT-Austin,Rickards,Cypress Falls,Cornell,Palatine,BullSO,Boyceville,Seven Lakes,Dick Smith,Northview,Great Oak,Camas,Valley Forge,Marquette,Fairfax,Prestonwood,Long Island,Mira Loma,Pembroke Hill,SOAPS,Aggie,Carnegie-Mellon,MIT,North Pocono,Columbia,BirdSO IP,Solon,Harvard,Yale,High Desert Sat,Brown,Loyola,Golden Gate,BirdSO Sat,UMichigan,UMass,SOUP,Northwestern
2,18.29005991,13.24011656,,,160,10,FALSE,,12.80304194,MA,Arlington H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24011656,,,,,,,,18.29005991,,
3,16.73373571,12.5954889,12.00609798,,161,7,FALSE,,12.76395516,IL,Lake Forest Academy IL,,,,,,,,,,,,,,,,12.00609798,,,,,,,,,,,,,,,,,,12.5954889,,,,,,16.73373571
1,18.22941437,,,,162,1,TRUE,45,12.76059006,LA,Baton Rouge Magnet H.S. LA,18.22941437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18.19559241,8.786809313,,,163,12,FALSE,,12.73691469,MI,"Holt H.S. Holt, MI",,,,,,,,,8.786809313,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19559241,,,
3,17.11260572,13.61573667,9.867084998,,164,21,FALSE,,12.67862042,NY,"Scarsdale H.S. Scarsdale, NY",,,,,,,,,9.867084998,,13.61573667,,,,,,,,,,,,,17.11260572,,,,,,,,,,,,,,,,
1,18.07590351,,,,165,1,TRUE,46,12.65313246,MS,Northwest Rankin H.S. MS,18.07590351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17.97427721,,,,166,9,FALSE,,12.58199404,NJ,Cherry Hill H.S. East NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97427721,
4,17.01833233,14.33523298,8.631058044,5.821637055,167,8,FALSE,,12.55664865,IL,Vernon Hills H.S. IL,,,,,,,14.33523298,,,,5.821637055,,,,,,,,,,,,,,,,,,,,,,,17.01833233,,8.631058044,,,,
3,17.67827125,12.96781018,9.175124954,,168,5,FALSE,,12.51358798,GA,"South Forsyth H.S. Cumming, GA",,9.175124954,,,,,,,12.96781018,,,,,,,,,,,,,,,,,,,,,,,,,,,17.67827125,,,,
1,17.82862248,,,,169,22,FALSE,,12.48003574,NY,St. Joseph's Collegiate Institute NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.82862248,,,
2,17.77650966,3.748894174,,,170,1,TRUE,47,12.44355677,OK,"Casady School Oklahoma City, OK",17.77650966,,,,,,,,,,,,,,,,,,,,3.748894174,,,,,,,,,,,,,,,,,,,
